"PC6","PC4","longitude","latitude","type","lid"
"2531AA","2531",4.29445365984736,52.0582569644013,"home","home_1"
"2531AA","2531",4.29445365984736,52.0582569644013,"home","home_2"
"2531AA","2531",4.29445365984736,52.0582569644013,"home","home_3"
"2531AA","2531",4.29445365984736,52.0582569644013,"home","home_4"
"2531AA","2531",4.29445365984736,52.0582569644013,"home","home_5"
"2531AA","2531",4.29445365984736,52.0582569644013,"home","home_6"
"2531AA","2531",4.29445365984736,52.0582569644013,"home","home_7"
"2531AA","2531",4.29445365984736,52.0582569644013,"home","home_8"
"2531AA","2531",4.29445365984736,52.0582569644013,"home","home_9"
"2531AA","2531",4.29445365984736,52.0582569644013,"home","home_10"
"2531AA","2531",4.29445365984736,52.0582569644013,"home","home_11"
"2531AA","2531",4.29445365984736,52.0582569644013,"home","home_12"
"2531AA","2531",4.29445365984736,52.0582569644013,"home","home_13"
"2531AA","2531",4.29445365984736,52.0582569644013,"home","home_14"
"2531AA","2531",4.29445365984736,52.0582569644013,"home","home_15"
"2531AA","2531",4.29445365984736,52.0582569644013,"home","home_16"
"2531AA","2531",4.29445365984736,52.0582569644013,"home","home_17"
"2531AA","2531",4.29445365984736,52.0582569644013,"home","home_18"
"2531AA","2531",4.29445365984736,52.0582569644013,"home","home_19"
"2531AA","2531",4.29445365984736,52.0582569644013,"home","home_20"
"2531AA","2531",4.29445365984736,52.0582569644013,"home","home_21"
"2531AA","2531",4.29445365984736,52.0582569644013,"home","home_22"
"2531AA","2531",4.29445365984736,52.0582569644013,"home","home_23"
"2531AA","2531",4.29445365984736,52.0582569644013,"home","home_24"
"2531AA","2531",4.29445365984736,52.0582569644013,"home","home_25"
"2531AA","2531",4.29445365984736,52.0582569644013,"home","home_26"
"2531AA","2531",4.29445365984736,52.0582569644013,"home","home_27"
"2531AA","2531",4.29445365984736,52.0582569644013,"home","home_28"
"2531AA","2531",4.29445365984736,52.0582569644013,"home","home_29"
"2531AA","2531",4.29445365984736,52.0582569644013,"home","home_30"
"2531AA","2531",4.29445365984736,52.0582569644013,"home","home_31"
"2531AA","2531",4.29445365984736,52.0582569644013,"home","home_32"
"2531AA","2531",4.29445365984736,52.0582569644013,"home","home_33"
"2531AA","2531",4.29445365984736,52.0582569644013,"home","home_34"
"2531AA","2531",4.29445365984736,52.0582569644013,"home","home_35"
"2531AA","2531",4.29445365984736,52.0582569644013,"home","home_36"
"2531AA","2531",4.29445365984736,52.0582569644013,"home","home_37"
"2531AA","2531",4.29445365984736,52.0582569644013,"home","home_38"
"2531AA","2531",4.29445365984736,52.0582569644013,"home","home_39"
"2531AA","2531",4.29445365984736,52.0582569644013,"home","home_40"
"2531AA","2531",4.29445365984736,52.0582569644013,"home","home_41"
"2531AA","2531",4.29445365984736,52.0582569644013,"home","home_42"
"2531AA","2531",4.29445365984736,52.0582569644013,"home","home_43"
"2531AA","2531",4.29445365984736,52.0582569644013,"home","home_44"
"2531AA","2531",4.29445365984736,52.0582569644013,"home","home_45"
"2531AA","2531",4.29445365984736,52.0582569644013,"home","home_46"
"2531AA","2531",4.29445365984736,52.0582569644013,"home","home_47"
"2531AA","2531",4.29445365984736,52.0582569644013,"home","home_48"
"2531AA","2531",4.29445365984736,52.0582569644013,"home","home_49"
"2531AA","2531",4.29445365984736,52.0582569644013,"home","home_50"
