PC6,hh_ID,hh_size,neighb_code,hh_type,income_group,car_ownership,longitude,latitude,PC4
2531AA,34680,4,BU05183638,couple_with_children,income_5_10,0,4.29445365984736,52.0582569644013,2531
2531AA,34601,3,BU05183638,single-parent,income_7_10,1,4.29445365984736,52.0582569644013,2531
2531AA,36416,1,BU05183638,single,income_1_10,1,4.29445365984736,52.0582569644013,2531
2531AA,36514,1,BU05183638,single,income_2_10,1,4.29445365984736,52.0582569644013,2531
2531AA,34802,4,BU05183638,couple_with_children,income_10_10,0,4.29445365984736,52.0582569644013,2531
2531AA,36313,1,BU05183638,single,income_2_10,0,4.29445365984736,52.0582569644013,2531
2531AA,35584,2,BU05183638,single-parent,income_1_10,1,4.29445365984736,52.0582569644013,2531
2531AA,34752,3,BU05183638,single-parent,income_1_10,1,4.29445365984736,52.0582569644013,2531
2531AA,37630,1,BU05183638,single,income_2_10,0,4.29445365984736,52.0582569644013,2531
2531AA,37592,1,BU05183638,single,income_8_10,1,4.29445365984736,52.0582569644013,2531
2531AA,36166,2,BU05183638,couple_without_children,income_10_10,0,4.29445365984736,52.0582569644013,2531
2531AA,35283,3,BU05183638,couple_with_children,income_9_10,0,4.29445365984736,52.0582569644013,2531
2531AA,36311,1,BU05183638,single,income_3_10,0,4.29445365984736,52.0582569644013,2531
2531AA,35570,3,BU05183638,couple_with_children,income_2_10,0,4.29445365984736,52.0582569644013,2531
2531AA,35098,3,BU05183638,couple_with_children,income_8_10,0,4.29445365984736,52.0582569644013,2531
2531AA,34652,4,BU05183638,couple_with_children,income_1_10,0,4.29445365984736,52.0582569644013,2531
2531AA,35467,3,BU05183638,couple_with_children,income_2_10,0,4.29445365984736,52.0582569644013,2531
2531AA,34758,4,BU05183638,couple_with_children,income_10_10,0,4.29445365984736,52.0582569644013,2531
2531AA,35870,2,BU05183638,couple_without_children,income_5_10,0,4.29445365984736,52.0582569644013,2531
2531AA,35409,3,BU05183638,couple_with_children,income_6_10,0,4.29445365984736,52.0582569644013,2531
2531AA,35013,3,BU05183638,single-parent,income_9_10,1,4.29445365984736,52.0582569644013,2531
2531AA,37227,1,BU05183638,single,income_1_10,0,4.29445365984736,52.0582569644013,2531
2531AA,36700,1,BU05183638,single,income_6_10,1,4.29445365984736,52.0582569644013,2531
2531AA,35771,2,BU05183638,couple_without_children,income_5_10,0,4.29445365984736,52.0582569644013,2531
2531AA,36648,1,BU05183638,single,income_1_10,0,4.29445365984736,52.0582569644013,2531
2531AA,35824,2,BU05183638,couple_without_children,income_9_10,0,4.29445365984736,52.0582569644013,2531
2531AA,35367,2,BU05183638,single-parent,income_2_10,1,4.29445365984736,52.0582569644013,2531
2531AA,37315,1,BU05183638,single,income_3_10,1,4.29445365984736,52.0582569644013,2531
2531AA,36638,1,BU05183638,single,income_10_10,1,4.29445365984736,52.0582569644013,2531
2531AA,36046,2,BU05183638,couple_without_children,income_2_10,0,4.29445365984736,52.0582569644013,2531
2531AA,36210,1,BU05183638,single,income_8_10,0,4.29445365984736,52.0582569644013,2531
2531AA,35884,2,BU05183638,couple_without_children,income_1_10,0,4.29445365984736,52.0582569644013,2531
2531AA,37709,1,BU05183638,single,income_2_10,1,4.29445365984736,52.0582569644013,2531
2531AA,35673,2,BU05183638,couple_without_children,income_7_10,0,4.29445365984736,52.0582569644013,2531
2531AA,36754,1,BU05183638,single,income_10_10,0,4.29445365984736,52.0582569644013,2531
2531AA,37024,1,BU05183638,single,income_10_10,1,4.29445365984736,52.0582569644013,2531
2531AA,35199,3,BU05183638,couple_with_children,income_7_10,0,4.29445365984736,52.0582569644013,2531
2531AA,36535,1,BU05183638,single,income_6_10,1,4.29445365984736,52.0582569644013,2531
2531AA,35554,2,BU05183638,single-parent,income_5_10,1,4.29445365984736,52.0582569644013,2531
2531AA,36755,1,BU05183638,single,income_2_10,0,4.29445365984736,52.0582569644013,2531
2531AA,36315,1,BU05183638,single,income_3_10,1,4.29445365984736,52.0582569644013,2531
2531AA,36447,1,BU05183638,single,income_3_10,1,4.29445365984736,52.0582569644013,2531
2531AA,35448,3,BU05183638,couple_with_children,income_3_10,0,4.29445365984736,52.0582569644013,2531
2531AA,34429,5,BU05183638,couple_with_children,income_2_10,0,4.29445365984736,52.0582569644013,2531
2531AA,35237,3,BU05183638,couple_with_children,income_10_10,0,4.29445365984736,52.0582569644013,2531
2531AA,34590,4,BU05183638,couple_with_children,income_7_10,0,4.29445365984736,52.0582569644013,2531
2531AA,36658,1,BU05183638,single,income_2_10,0,4.29445365984736,52.0582569644013,2531
2531AA,37349,1,BU05183638,single,income_2_10,0,4.29445365984736,52.0582569644013,2531
2531AA,37440,1,BU05183638,single,income_2_10,0,4.29445365984736,52.0582569644013,2531
2531AA,36468,1,BU05183638,single,income_3_10,1,4.29445365984736,52.0582569644013,2531
2531AA,34704,3,BU05183638,single-parent,income_10_10,1,4.29445365984736,52.0582569644013,2531
2531AA,36793,1,BU05183638,single,income_1_10,0,4.29445365984736,52.0582569644013,2531
2531AA,35256,2,BU05183638,single-parent,income_2_10,1,4.29445365984736,52.0582569644013,2531
2531AA,34556,5,BU05183638,couple_with_children,income_1_10,0,4.29445365984736,52.0582569644013,2531
2531AA,36786,1,BU05183638,single,income_1_10,1,4.29445365984736,52.0582569644013,2531
2531AA,37689,1,BU05183638,single,income_6_10,1,4.29445365984736,52.0582569644013,2531
2531AA,36395,1,BU05183638,single,income_2_10,0,4.29445365984736,52.0582569644013,2531
2531AA,34656,3,BU05183638,single-parent,income_2_10,0,4.29445365984736,52.0582569644013,2531
2531AA,36764,1,BU05183638,single,income_5_10,0,4.29445365984736,52.0582569644013,2531
2531AA,34782,4,BU05183638,couple_with_children,income_9_10,0,4.29445365984736,52.0582569644013,2531
2531AA,36753,1,BU05183638,single,income_1_10,1,4.29445365984736,52.0582569644013,2531
2531AA,36562,1,BU05183638,single,income_9_10,0,4.29445365984736,52.0582569644013,2531
2531AA,35390,3,BU05183638,couple_with_children,income_6_10,0,4.29445365984736,52.0582569644013,2531
2531AA,35657,2,BU05183638,couple_without_children,income_1_10,0,4.29445365984736,52.0582569644013,2531
2531AA,36121,2,BU05183638,couple_without_children,income_7_10,0,4.29445365984736,52.0582569644013,2531
2531AA,34381,5,BU05183638,couple_with_children,income_8_10,0,4.29445365984736,52.0582569644013,2531
2531AA,34367,5,BU05183638,couple_with_children,income_4_10,0,4.29445365984736,52.0582569644013,2531
2531AA,36163,2,BU05183638,couple_without_children,income_5_10,0,4.29445365984736,52.0582569644013,2531
2531AA,36205,1,BU05183638,single,income_2_10,1,4.29445365984736,52.0582569644013,2531
2531AA,37462,1,BU05183638,single,income_3_10,1,4.29445365984736,52.0582569644013,2531
2531AA,35481,3,BU05183638,couple_with_children,income_7_10,0,4.29445365984736,52.0582569644013,2531
2531AA,34428,5,BU05183638,couple_with_children,income_4_10,0,4.29445365984736,52.0582569644013,2531
2531AA,36815,1,BU05183638,single,income_2_10,1,4.29445365984736,52.0582569644013,2531
2531AA,37463,1,BU05183638,single,income_6_10,1,4.29445365984736,52.0582569644013,2531
2531AA,34795,4,BU05183638,couple_with_children,income_7_10,0,4.29445365984736,52.0582569644013,2531
2531AA,37225,1,BU05183638,single,income_3_10,0,4.29445365984736,52.0582569644013,2531
2531AA,37656,1,BU05183638,single,income_4_10,0,4.29445365984736,52.0582569644013,2531
2531AA,35963,2,BU05183638,couple_without_children,income_5_10,0,4.29445365984736,52.0582569644013,2531
2531AA,35375,2,BU05183638,single-parent,income_1_10,1,4.29445365984736,52.0582569644013,2531
2531AA,35432,3,BU05183638,couple_with_children,income_9_10,0,4.29445365984736,52.0582569644013,2531
2531AA,35619,3,BU05183638,couple_with_children,income_7_10,0,4.29445365984736,52.0582569644013,2531
2531AA,35618,3,BU05183638,couple_with_children,income_3_10,0,4.29445365984736,52.0582569644013,2531
2531AA,36959,1,BU05183638,single,income_1_10,1,4.29445365984736,52.0582569644013,2531
2531AA,36298,1,BU05183638,single,income_3_10,0,4.29445365984736,52.0582569644013,2531
2531AA,36316,1,BU05183638,single,income_1_10,0,4.29445365984736,52.0582569644013,2531
2531AA,36294,1,BU05183638,single,income_1_10,1,4.29445365984736,52.0582569644013,2531
2531AA,36181,1,BU05183638,single,income_1_10,1,4.29445365984736,52.0582569644013,2531
2531AA,36953,1,BU05183638,single,income_2_10,1,4.29445365984736,52.0582569644013,2531
2531AA,34688,4,BU05183638,couple_with_children,income_9_10,0,4.29445365984736,52.0582569644013,2531
2531AA,35109,3,BU05183638,couple_with_children,income_2_10,0,4.29445365984736,52.0582569644013,2531
2531AA,37135,1,BU05183638,single,income_3_10,1,4.29445365984736,52.0582569644013,2531
2531AA,36521,1,BU05183638,single,income_2_10,0,4.29445365984736,52.0582569644013,2531
2531AA,36038,2,BU05183638,couple_without_children,income_5_10,0,4.29445365984736,52.0582569644013,2531
2531AA,36683,1,BU05183638,single,income_1_10,0,4.29445365984736,52.0582569644013,2531
2531AA,35423,3,BU05183638,couple_with_children,income_10_10,0,4.29445365984736,52.0582569644013,2531
2531AA,37337,1,BU05183638,single,income_5_10,1,4.29445365984736,52.0582569644013,2531
2531AA,35353,3,BU05183638,couple_with_children,income_9_10,0,4.29445365984736,52.0582569644013,2531
2531AA,35779,2,BU05183638,couple_without_children,income_10_10,0,4.29445365984736,52.0582569644013,2531
2531AA,37035,1,BU05183638,single,income_4_10,1,4.29445365984736,52.0582569644013,2531
2531AA,36272,1,BU05183638,single,income_1_10,1,4.29445365984736,52.0582569644013,2531
2531AA,36346,1,BU05183638,single,income_9_10,0,4.29445365984736,52.0582569644013,2531
2531AA,36080,2,BU05183638,couple_without_children,income_10_10,0,4.29445365984736,52.0582569644013,2531
2531AA,37384,1,BU05183638,single,income_4_10,0,4.29445365984736,52.0582569644013,2531
2531AA,35064,3,BU05183638,couple_with_children,income_1_10,0,4.29445365984736,52.0582569644013,2531
2531AA,34584,4,BU05183638,couple_with_children,income_1_10,0,4.29445365984736,52.0582569644013,2531
2531AA,37233,1,BU05183638,single,income_10_10,1,4.29445365984736,52.0582569644013,2531
2531AA,35506,3,BU05183638,couple_with_children,income_1_10,0,4.29445365984736,52.0582569644013,2531
2531AA,36881,1,BU05183638,single,income_5_10,1,4.29445365984736,52.0582569644013,2531
2531AA,34438,5,BU05183638,couple_with_children,income_1_10,0,4.29445365984736,52.0582569644013,2531
2531AA,37396,1,BU05183638,single,income_4_10,1,4.29445365984736,52.0582569644013,2531
2531AB,35617,3,BU05183638,couple_with_children,income_6_10,0,4.29522389954366,52.0581296075231,2531
2531AB,36013,2,BU05183638,couple_without_children,income_4_10,0,4.29522389954366,52.0581296075231,2531
2531AB,36823,1,BU05183638,single,income_2_10,1,4.29522389954366,52.0581296075231,2531
2531AB,35983,2,BU05183638,couple_without_children,income_5_10,0,4.29522389954366,52.0581296075231,2531
2531AB,36677,1,BU05183638,single,income_10_10,0,4.29522389954366,52.0581296075231,2531
2531AB,35379,2,BU05183638,single-parent,income_2_10,0,4.29522389954366,52.0581296075231,2531
2531AB,35085,3,BU05183638,couple_with_children,income_10_10,0,4.29522389954366,52.0581296075231,2531
2531AB,37619,1,BU05183638,single,income_6_10,1,4.29522389954366,52.0581296075231,2531
2531AB,36320,1,BU05183638,single,income_1_10,0,4.29522389954366,52.0581296075231,2531
2531AB,35278,3,BU05183638,couple_with_children,income_10_10,0,4.29522389954366,52.0581296075231,2531
2531AB,34992,4,BU05183638,couple_with_children,income_10_10,0,4.29522389954366,52.0581296075231,2531
2531AB,36287,1,BU05183638,single,income_3_10,1,4.29522389954366,52.0581296075231,2531
2531AB,35727,2,BU05183638,couple_without_children,income_9_10,0,4.29522389954366,52.0581296075231,2531
2531AB,34886,4,BU05183638,couple_with_children,income_5_10,0,4.29522389954366,52.0581296075231,2531
2531AB,35869,2,BU05183638,couple_without_children,income_2_10,0,4.29522389954366,52.0581296075231,2531
2531AB,35326,3,BU05183638,couple_with_children,income_1_10,0,4.29522389954366,52.0581296075231,2531
2531AB,36983,1,BU05183638,single,income_7_10,0,4.29522389954366,52.0581296075231,2531
2531AB,36805,1,BU05183638,single,income_5_10,0,4.29522389954366,52.0581296075231,2531
2531AB,36520,1,BU05183638,single,income_2_10,0,4.29522389954366,52.0581296075231,2531
2531AB,35173,3,BU05183638,couple_with_children,income_5_10,0,4.29522389954366,52.0581296075231,2531
2531AB,36429,1,BU05183638,single,income_5_10,1,4.29522389954366,52.0581296075231,2531
2531AB,36933,1,BU05183638,single,income_7_10,1,4.29522389954366,52.0581296075231,2531
2531AB,34524,4,BU05183638,single-parent,income_1_10,1,4.29522389954366,52.0581296075231,2531
2531AC,35839,2,BU05183638,couple_without_children,income_5_10,0,4.29604752614208,52.0579746735187,2531
2531AC,36629,1,BU05183638,single,income_4_10,0,4.29604752614208,52.0579746735187,2531
2531AC,37352,1,BU05183638,single,income_2_10,1,4.29604752614208,52.0579746735187,2531
2531AC,34424,5,BU05183638,couple_with_children,income_10_10,0,4.29604752614208,52.0579746735187,2531
2531AC,36190,1,BU05183638,single,income_3_10,0,4.29604752614208,52.0579746735187,2531
2531AC,37472,1,BU05183638,single,income_7_10,0,4.29604752614208,52.0579746735187,2531
2531AC,37351,1,BU05183638,single,income_1_10,1,4.29604752614208,52.0579746735187,2531
2531AC,34891,4,BU05183638,couple_with_children,income_7_10,0,4.29604752614208,52.0579746735187,2531
2531AC,36966,1,BU05183638,single,income_4_10,0,4.29604752614208,52.0579746735187,2531
2531AC,36426,1,BU05183638,single,income_2_10,1,4.29604752614208,52.0579746735187,2531
2531AC,36947,1,BU05183638,single,income_4_10,0,4.29604752614208,52.0579746735187,2531
2531AC,35602,3,BU05183638,couple_with_children,income_9_10,0,4.29604752614208,52.0579746735187,2531
2531AC,37640,1,BU05183638,single,income_3_10,1,4.29604752614208,52.0579746735187,2531
2531AC,36843,1,BU05183638,single,income_1_10,0,4.29604752614208,52.0579746735187,2531
2531AC,34384,5,BU05183638,couple_with_children,income_7_10,0,4.29604752614208,52.0579746735187,2531
2531AC,36904,1,BU05183638,single,income_2_10,0,4.29604752614208,52.0579746735187,2531
2531AC,35509,3,BU05183638,couple_with_children,income_7_10,0,4.29604752614208,52.0579746735187,2531
2531AC,35887,2,BU05183638,couple_without_children,income_7_10,0,4.29604752614208,52.0579746735187,2531
2531AC,37325,1,BU05183638,single,income_2_10,0,4.29604752614208,52.0579746735187,2531
2531AD,34431,5,BU05183638,couple_with_children,income_2_10,0,4.29672342706323,52.0577629076474,2531
2531AD,35399,3,BU05183638,couple_with_children,income_1_10,0,4.29672342706323,52.0577629076474,2531
2531AD,35693,2,BU05183638,couple_without_children,income_4_10,0,4.29672342706323,52.0577629076474,2531
2531AD,37519,1,BU05183638,single,income_8_10,0,4.29672342706323,52.0577629076474,2531
2531AD,35577,3,BU05183638,couple_with_children,income_10_10,0,4.29672342706323,52.0577629076474,2531
2531AD,37666,1,BU05183638,single,income_2_10,1,4.29672342706323,52.0577629076474,2531
2531AD,36419,1,BU05183638,single,income_3_10,0,4.29672342706323,52.0577629076474,2531
2531AD,36560,1,BU05183638,single,income_8_10,0,4.29672342706323,52.0577629076474,2531
2531AD,34635,3,BU05183638,single-parent,income_10_10,1,4.29672342706323,52.0577629076474,2531
2531AD,34448,5,BU05183638,couple_with_children,income_5_10,0,4.29672342706323,52.0577629076474,2531
2531AD,35934,2,BU05183638,couple_without_children,income_7_10,0,4.29672342706323,52.0577629076474,2531
2531AD,35701,2,BU05183638,couple_without_children,income_7_10,0,4.29672342706323,52.0577629076474,2531
2531AD,34670,4,BU05183638,couple_with_children,income_2_10,0,4.29672342706323,52.0577629076474,2531
2531AD,37478,1,BU05183638,single,income_1_10,1,4.29672342706323,52.0577629076474,2531
2531AD,37295,1,BU05183638,single,income_2_10,0,4.29672342706323,52.0577629076474,2531
2531AD,35697,2,BU05183638,couple_without_children,income_2_10,0,4.29672342706323,52.0577629076474,2531
2531AD,37340,1,BU05183638,single,income_3_10,1,4.29672342706323,52.0577629076474,2531
2531AD,34861,4,BU05183638,couple_with_children,income_5_10,0,4.29672342706323,52.0577629076474,2531
2531AD,36155,2,BU05183638,couple_without_children,income_8_10,0,4.29672342706323,52.0577629076474,2531
2531AE,34434,4,BU05183638,single-parent,income_1_10,1,4.29729671877661,52.0575816111391,2531
2531AE,34435,5,BU05183638,couple_with_children,income_3_10,0,4.29729671877661,52.0575816111391,2531
2531AE,36097,2,BU05183638,couple_without_children,income_6_10,0,4.29729671877661,52.0575816111391,2531
2531AE,37018,1,BU05183638,single,income_7_10,0,4.29729671877661,52.0575816111391,2531
2531AE,37188,1,BU05183638,single,income_7_10,0,4.29729671877661,52.0575816111391,2531
2531AE,35361,2,BU05183638,single-parent,income_3_10,1,4.29729671877661,52.0575816111391,2531
2531AE,36838,1,BU05183638,single,income_4_10,0,4.29729671877661,52.0575816111391,2531
2531AE,35742,2,BU05183638,couple_without_children,income_7_10,0,4.29729671877661,52.0575816111391,2531
2531AE,34377,5,BU05183638,couple_with_children,income_5_10,0,4.29729671877661,52.0575816111391,2531
2531AE,35744,2,BU05183638,couple_without_children,income_4_10,0,4.29729671877661,52.0575816111391,2531
2531AE,36803,1,BU05183638,single,income_8_10,0,4.29729671877661,52.0575816111391,2531
2531AE,35177,3,BU05183638,couple_with_children,income_4_10,0,4.29729671877661,52.0575816111391,2531
2531AE,36717,1,BU05183638,single,income_7_10,0,4.29729671877661,52.0575816111391,2531
2531AE,34675,4,BU05183638,couple_with_children,income_9_10,0,4.29729671877661,52.0575816111391,2531
2531AE,35726,2,BU05183638,couple_without_children,income_3_10,0,4.29729671877661,52.0575816111391,2531
2531AE,35218,2,BU05183638,single-parent,income_1_10,1,4.29729671877661,52.0575816111391,2531
2531AE,36552,1,BU05183638,single,income_2_10,0,4.29729671877661,52.0575816111391,2531
2531AE,37012,1,BU05183638,single,income_1_10,1,4.29729671877661,52.0575816111391,2531
2531AE,35365,3,BU05183638,couple_with_children,income_1_10,0,4.29729671877661,52.0575816111391,2531
2531AE,35325,3,BU05183638,couple_with_children,income_10_10,0,4.29729671877661,52.0575816111391,2531
2531AE,37126,1,BU05183638,single,income_3_10,0,4.29729671877661,52.0575816111391,2531
2531AE,37671,1,BU05183638,single,income_10_10,1,4.29729671877661,52.0575816111391,2531
2531AE,37525,1,BU05183638,single,income_10_10,1,4.29729671877661,52.0575816111391,2531
2531AE,37637,1,BU05183638,single,income_3_10,1,4.29729671877661,52.0575816111391,2531
2531AE,35243,2,BU05183638,single-parent,income_8_10,1,4.29729671877661,52.0575816111391,2531
2531AE,35598,3,BU05183638,couple_with_children,income_2_10,0,4.29729671877661,52.0575816111391,2531
2531AE,35916,2,BU05183638,couple_without_children,income_2_10,0,4.29729671877661,52.0575816111391,2531
